CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,Avg_Monthly_Spend
C00379,41,76,4187,Two year,Bank Transfer,No,1,0,99.69047619047619
C00380,21,180,3061,One year,Bank Transfer,No,0,0,139.13636363636363
C00381,68,67,2144,Two year,Credit Card,Yes,1,0,31.07246376811594
C00382,67,64,5558,One year,Credit Card,Yes,0,0,81.73529411764706
C00383,24,185,1550,Two year,Electronic Check,No,1,0,62.0
C00384,47,187,4343,One year,Bank Transfer,Yes,1,0,90.47916666666667
C00385,1,188,7165,Month-to-month,Bank Transfer,No,0,1,3582.5
C00386,25,90,1649,Month-to-month,Credit Card,No,1,0,63.42307692307692
C00387,70,168,2375,One year,Bank Transfer,Yes,0,0,33.45070422535211
C00388,42,156,2302,Two year,Electronic Check,No,0,0,53.53488372093023
C00389,42,126,5532,Month-to-month,Credit Card,No,0,0,128.65116279069767
C00390,4,105,2534,Month-to-month,Electronic Check,Yes,0,1,506.8
C00391,3,79,1299,One year,Credit Card,No,1,0,324.75
C00392,56,147,253,Month-to-month,Credit Card,Yes,0,0,4.43859649122807
C00393,6,63,2156,Month-to-month,Credit Card,Yes,1,1,308.0
C00394,22,65,1947,Month-to-month,Bank Transfer,Yes,1,0,84.65217391304348
C00395,61,116,6302,One year,Electronic Check,Yes,0,0,101.64516129032258
C00396,57,134,2241,Month-to-month,Electronic Check,Yes,1,0,38.63793103448276
C00397,5,39,3370,Month-to-month,Credit Card,Yes,0,1,561.6666666666666
C00398,59,95,7232,Two year,Credit Card,Yes,1,0,120.53333333333333
C00399,62,159,446,One year,Bank Transfer,No,0,0,7.079365079365079
C00400,53,27,4429,Two year,Electronic Check,No,0,0,82.01851851851852
C00401,6,198,6427,Month-to-month,Credit Card,No,1,1,918.1428571428571
C00402,45,199,7564,Month-to-month,Credit Card,Yes,0,0,164.43478260869566
C00403,69,115,4730,One year,Credit Card,Yes,1,0,67.57142857142857
C00404,20,37,4631,Month-to-month,Electronic Check,No,0,0,220.52380952380952
C00405,25,184,7662,Month-to-month,Credit Card,No,1,0,294.6923076923077
C00406,45,104,2541,Month-to-month,Electronic Check,No,1,0,55.23913043478261
C00407,3,75,3048,One year,Electronic Check,No,0,0,762.0
C00408,5,44,7840,One year,Credit Card,No,0,0,1306.6666666666667
C00409,48,46,6056,Month-to-month,Bank Transfer,No,0,0,123.59183673469387
C00410,48,149,7690,Month-to-month,Bank Transfer,Yes,1,0,156.9387755102041
C00411,23,134,4413,One year,Electronic Check,No,1,0,183.875
C00412,48,95,1168,One year,Bank Transfer,Yes,0,0,23.836734693877553
C00413,64,131,3127,Two year,Electronic Check,No,0,0,48.10769230769231
C00414,2,158,3460,Two year,Electronic Check,No,0,0,1153.3333333333333
C00415,48,87,6197,One year,Credit Card,Yes,1,0,126.46938775510205
C00416,48,151,530,Two year,Credit Card,Yes,0,0,10.816326530612244
C00417,51,83,7409,Two year,Bank Transfer,Yes,0,0,142.48076923076923
C00418,59,183,4605,One year,Electronic Check,Yes,0,0,76.75
C00419,35,113,6754,Month-to-month,Bank Transfer,No,1,0,187.61111111111111
C00420,18,53,6260,Month-to-month,Bank Transfer,Yes,0,0,329.4736842105263
C00421,39,146,3886,One year,Bank Transfer,Yes,1,0,97.15
C00422,14,158,1718,One year,Bank Transfer,No,1,0,114.53333333333333
C00423,5,172,2066,One year,Bank Transfer,No,1,0,344.3333333333333
C00424,5,93,3720,Month-to-month,Credit Card,Yes,0,1,620.0
C00425,52,47,7270,Two year,Electronic Check,Yes,0,0,137.16981132075472
C00426,54,61,1714,Month-to-month,Bank Transfer,No,1,0,31.163636363636364
C00427,34,191,4220,One year,Bank Transfer,Yes,0,0,120.57142857142857
C00428,3,178,1423,Month-to-month,Credit Card,Yes,1,1,355.75
C00429,36,169,7102,One year,Electronic Check,No,1,0,191.94594594594594
C00430,10,21,4968,One year,Electronic Check,No,1,0,451.6363636363636
C00431,70,156,2011,Two year,Credit Card,Yes,0,0,28.323943661971832
C00432,62,116,2103,One year,Electronic Check,No,1,0,33.38095238095238
C00433,14,162,325,Two year,Credit Card,Yes,0,0,21.666666666666668
C00434,67,21,5850,Two year,Electronic Check,Yes,0,0,86.02941176470588
C00435,8,152,499,Month-to-month,Electronic Check,No,0,1,55.44444444444444
C00436,29,151,1329,Month-to-month,Bank Transfer,Yes,1,0,44.3
C00437,30,100,3098,Month-to-month,Electronic Check,No,0,0,99.93548387096774
C00438,68,93,3075,Month-to-month,Credit Card,Yes,0,0,44.56521739130435
C00439,46,76,5865,One year,Electronic Check,No,1,0,124.7872340425532
C00440,60,47,6373,Month-to-month,Credit Card,No,1,0,104.47540983606558
C00441,61,26,3471,One year,Credit Card,No,0,0,55.983870967741936
C00442,52,70,5784,Two year,Electronic Check,No,0,0,109.13207547169812
C00443,29,85,5965,Two year,Credit Card,No,0,0,198.83333333333334
C00444,59,126,6287,One year,Credit Card,No,1,0,104.78333333333333
C00445,58,150,5290,One year,Credit Card,No,1,0,89.66101694915254
C00446,8,168,7608,Two year,Credit Card,No,0,0,845.3333333333334
C00447,13,190,6568,Month-to-month,Electronic Check,Yes,1,0,469.14285714285717
C00448,50,190,6770,Month-to-month,Credit Card,No,1,0,132.7450980392157
C00449,59,165,7758,One year,Electronic Check,Yes,1,0,129.3
C00450,15,113,6537,Two year,Electronic Check,No,1,0,408.5625
C00451,64,57,5241,One year,Electronic Check,No,0,0,80.63076923076923
C00452,19,192,2908,One year,Credit Card,No,1,0,145.4
C00453,36,67,4566,Month-to-month,Electronic Check,No,1,0,123.4054054054054
C00454,68,24,3316,One year,Bank Transfer,No,0,0,48.05797101449275
C00455,10,34,5589,Month-to-month,Credit Card,No,0,1,508.09090909090907
C00456,1,30,6242,Two year,Bank Transfer,No,0,0,3121.0
C00457,31,160,5208,One year,Electronic Check,Yes,1,0,162.75
C00458,1,186,622,Two year,Electronic Check,Yes,1,1,311.0
C00459,53,102,7501,Month-to-month,Credit Card,No,1,0,138.90740740740742
C00460,28,187,3207,One year,Electronic Check,Yes,0,0,110.58620689655173
C00461,49,80,3534,Month-to-month,Credit Card,No,1,0,70.68
C00462,40,158,4093,One year,Electronic Check,Yes,0,0,99.82926829268293
C00463,56,143,6530,One year,Bank Transfer,Yes,1,0,114.56140350877193
C00464,10,168,5667,One year,Electronic Check,Yes,1,1,515.1818181818181
C00465,63,125,6204,Month-to-month,Bank Transfer,No,0,0,96.9375
C00466,38,59,3970,One year,Credit Card,No,0,0,101.7948717948718
C00467,46,37,5635,Two year,Electronic Check,No,0,0,119.8936170212766
C00468,23,23,4012,One year,Electronic Check,Yes,1,0,167.16666666666666
C00469,53,146,6760,One year,Bank Transfer,Yes,1,0,125.18518518518519
C00470,6,115,4534,Month-to-month,Bank Transfer,Yes,1,1,647.7142857142857
C00471,2,194,5397,Month-to-month,Electronic Check,Yes,0,1,1799.0
C00472,52,55,2628,Month-to-month,Credit Card,No,1,0,49.58490566037736
C00473,45,187,1946,One year,Electronic Check,Yes,0,0,42.30434782608695
C00474,13,106,5999,Two year,Credit Card,No,1,0,428.5
C00475,19,82,7583,Month-to-month,Credit Card,Yes,0,0,379.15
C00476,44,24,6003,Two year,Credit Card,Yes,1,0,133.4
C00477,14,131,903,Two year,Electronic Check,Yes,1,0,60.2
C00478,29,117,3187,Two year,Electronic Check,Yes,1,0,106.23333333333333
C00479,32,59,4807,Month-to-month,Credit Card,No,1,0,145.66666666666666
C00480,11,160,4666,Two year,Credit Card,No,0,1,388.8333333333333
C00481,69,58,3105,One year,Electronic Check,Yes,0,0,44.357142857142854
C00482,32,199,5789,Month-to-month,Electronic Check,Yes,0,0,175.42424242424244
C00483,13,189,6302,Two year,Bank Transfer,No,0,0,450.14285714285717
C00484,27,147,7103,Two year,Credit Card,Yes,1,0,253.67857142857142
C00485,50,74,7599,Month-to-month,Credit Card,No,1,0,149.0
C00486,66,67,6774,Month-to-month,Bank Transfer,No,1,0,101.1044776119403
C00487,57,165,5425,Month-to-month,Credit Card,No,0,0,93.53448275862068
C00488,9,72,2417,Month-to-month,Electronic Check,Yes,1,1,241.7
C00489,66,156,677,Month-to-month,Credit Card,Yes,0,0,10.104477611940299
C00490,56,52,4061,One year,Electronic Check,Yes,1,0,71.24561403508773
C00491,44,30,4695,One year,Credit Card,Yes,1,0,104.33333333333333
C00492,54,123,7652,Month-to-month,Electronic Check,No,1,0,139.12727272727273
C00493,2,114,5468,One year,Credit Card,Yes,1,0,1822.6666666666667
C00494,68,128,2102,Month-to-month,Electronic Check,Yes,1,0,30.463768115942027
C00495,22,164,2339,One year,Credit Card,No,0,0,101.69565217391305
C00496,50,128,6970,Month-to-month,Credit Card,Yes,1,0,136.66666666666666
C00497,2,49,5917,Two year,Bank Transfer,No,1,0,1972.3333333333333
C00498,46,198,2158,Month-to-month,Bank Transfer,No,0,0,45.91489361702128
C00499,1,185,5755,Two year,Credit Card,Yes,1,1,2877.5
C00500,27,181,4292,Month-to-month,Bank Transfer,No,1,0,153.28571428571428
